Name,Party,Stiftung gemeinnütziger Wohnungsbau,Separativer Unterricht,Kündigung Bilaterale Verträge,Ausbau Stadion Schützenwiese,Kostenmiete statt Marktmiete,Public-Private-Partnerships,Verdichtetes Bauen,Bau von Windkraftanlagen,Engere Beziehungen zur EU,Verbot automatisierter Gesichtserkennung,Freie Marktwirtschaft,Einsatz von Sozialdetektiv/-innen,Barrierefreies Wohnen,Kürzung Sozialausgaben,Neubau Alterszentrum Adlergarten,Wohnungsvergabe an Einwohnende,Tagesschulen,Handyverbot an Schulen,Gleiche Bildungschancen,Stimmrecht für Ausländer/-innen,Abschaffung Wohnsitzpflicht,Gebührenfreie Einbürgerung unter 25,Selbstfinanzierte Sprachkurse für Ausländer/-innen,Ausbau Kulturförderung,Finanzierung Internationale Kurzfilmtage,Verbot geschlechtsneutraler Sprache,Steuersenkung,Schuldenabbau,Einstellungsstopp Stadtverwaltung,Strengere Kontrollen Lohngleichheit,Bessere Arbeitsbedingungen Stadtpersonal,Parkbewilligungen für Schichtarbeitende,Ökologische Mindeststandards im Bau,Lockerung Denkmal- und Ortsbildschutz,Sanierung Campingplatz Schützenweiher,Velowege statt Parkplätze,Verzicht auf Tram- und S-Bahn-Ausbau,Förderung motorisierter Individualverkehr,Förderung Fernwärmeanschluss,Förderung Dach- und Fassadenbegrünung,Begrünung Stadtraum,Digitale Stadtverwaltung,Ausbau Auslandshilfe,Strikte Neutralitätspolitik,Massnahmen gegen Littering,Massnahmen gegen Drogenkonsum,Stärkeres Engagement gegen häusliche Gewalt,Erhöhte Polizeipräsenz,Staatliche Umverteilung,Bestrafung von Kriminellen,Umweltschutz,About us,Methods,Partners & media
Marcel Ritter,Schweizerische Volkspartei,Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),Rather no (data-value=25),No (data-value=0),6 (data-value=83),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),3 (data-value=33),3 (data-value=33),2 (data-value=17),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Andreas Szummer,Schweizerische Volkspartei,Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),No (data-value=0),No (data-value=0),2 (data-value=17),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Rather no (data-value=25),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),1 (data-value=0),7 (data-value=100),1 (data-value=0),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
René Isler,Schweizerische Volkspartei,Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),7 (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Rather yes (data-value=75),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),1 (data-value=0),7 (data-value=100),1 (data-value=0),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Stefan Cajic,Schweizerische Volkspartei,No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),7 (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),1 (data-value=0),7 (data-value=100),2 (data-value=17),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Bruno Bischof,Schweizerische Volkspartei,Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),5 (data-value=67),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),No (data-value=0),Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),2 (data-value=17),4 (data-value=50),2 (data-value=17),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Susanna Lisibach,Schweizerische Volkspartei,No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),6 (data-value=83),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),No (data-value=0),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),3 (data-value=33),5 (data-value=67),4 (data-value=50),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Marcel Trieb,Schweizerische Volkspartei,No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),Rather no (data-value=25),5 (data-value=67),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Rather no (data-value=25),No (data-value=0),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),3 (data-value=33),4 (data-value=50),2 (data-value=17),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Marcello Fontana,Schweizerische Volkspartei,No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),Rather no (data-value=25),Yes (data-value=100),7 (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),5 (data-value=67),3 (data-value=33),2 (data-value=17),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Christoph Lisibach,Schweizerische Volkspartei,Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),4 (data-value=50),Yes (data-value=100),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),4 (data-value=50),6 (data-value=83),3 (data-value=33),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Diego Sagarra,Schweizerische Volkspartei,No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),Rather yes (data-value=75),6 (data-value=83),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),2 (data-value=17),5 (data-value=67),2 (data-value=17),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Martin Nussbaumer,Schweizerische Volkspartei,No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),No (data-value=0),Rather yes (data-value=75),7 (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),Rather yes (data-value=75),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),1 (data-value=0),7 (data-value=100),1 (data-value=0),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Markus Streuli,Schweizerische Volkspartei,No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),7 (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),7 (data-value=100),7 (data-value=100),7 (data-value=100),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Bernd Bleistein,Schweizerische Volkspartei,No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),5 (data-value=67),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),1 (data-value=0),7 (data-value=100),1 (data-value=0),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Radenko Grujic,Schweizerische Volkspartei,No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),Rather yes (data-value=75),7 (data-value=100),Rather yes (data-value=75),No (data-value=0),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),Rather yes (data-value=75),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Rather no (data-value=25),3 (data-value=33),4 (data-value=50),3 (data-value=33),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Josef Lisibach,Schweizerische Volkspartei,No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),Rather no (data-value=25),7 (data-value=100),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),1 (data-value=0),6 (data-value=83),2 (data-value=17),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Hansruedi Hofer,Schweizerische Volkspartei,No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),7 (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),1 (data-value=0),3 (data-value=33),2 (data-value=17),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Bea Bleistein,Schweizerische Volkspartei,No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),No (data-value=0),Rather yes (data-value=75),No (data-value=0),No (data-value=0),3 (data-value=33),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),3 (data-value=33),6 (data-value=83),1 (data-value=0),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Emil Perret,Schweizerische Volkspartei,Rather no (data-value=25),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),7 (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),No (data-value=0),No (data-value=0),Rather yes (data-value=75),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),1 (data-value=0),7 (data-value=100),1 (data-value=0),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Maria Sorgo,Sozialdemokratische Partei,Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),1 (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),7 (data-value=100),2 (data-value=17),7 (data-value=100),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Gabi Stritt,Sozialdemokratische Partei,Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),3 (data-value=33),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),6 (data-value=83),2 (data-value=17),6 (data-value=83),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Beatrice Helbling-Wehrli,Sozialdemokratische Partei,Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),2 (data-value=17),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),7 (data-value=100),2 (data-value=17),6 (data-value=83),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Lea Jacot,Sozialdemokratische Partei,Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),5 (data-value=67),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),6 (data-value=83),1 (data-value=0),6 (data-value=83),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
